osmid,y,x,street_count,highway,ref,junction,railway,geometry
666355,53.3245739,-6.2533137,3,,,,,POINT (-6.2533137 53.3245739)
666360,53.3243339,-6.2527072,4,,,,,POINT (-6.2527072 53.3243339)
666363,53.3209916,-6.2571331,3,,,,,POINT (-6.2571331 53.3209916)
666670,53.3125018,-6.2580057,3,,,,,POINT (-6.2580057 53.3125018)
666674,53.3132459,-6.2631653,3,traffic_signals,,,,POINT (-6.2631653 53.3132459)
666675,53.3122652,-6.2627552,3,,,,,POINT (-6.2627552 53.3122652)
666678,53.3098104,-6.2612651,3,,,,,POINT (-6.2612651 53.3098104)
666679,53.3092606,-6.2606206,3,traffic_signals,,,,POINT (-6.2606206 53.3092606)
666680,53.3086753,-6.2597384,3,,,,,POINT (-6.2597384 53.3086753)
666681,53.3086725,-6.2584181,3,,,,,POINT (-6.2584181 53.3086725)
666683,53.3132558,-6.2637226,3,traffic_signals,,,,POINT (-6.2637226 53.3132558)
666725,53.3150975,-6.2647223,3,,,,,POINT (-6.2647223 53.3150975)
666729,53.3213408,-6.2675625,4,,,,,POINT (-6.2675625 53.3213408)
666731,53.317207,-6.2704602,4,traffic_signals,,,,POINT (-6.2704602 53.317207)
666739,53.3161371,-6.2585048,4,traffic_signals,,,,POINT (-6.2585048 53.3161371)
666740,53.3148332,-6.2583243,3,,,,,POINT (-6.2583243 53.3148332)
666743,53.3189143,-6.2644077,3,,,,,POINT (-6.2644077 53.3189143)
670949,53.3204275,-6.2717302,3,,,,,POINT (-6.2717302 53.3204275)
670950,53.326329,-6.2781659,3,traffic_signals,,,,POINT (-6.2781659 53.326329)
670957,53.3185931,-6.2791574,5,traffic_signals,,yes,,POINT (-6.2791574 53.3185931)
670972,53.321782,-6.299274,3,mini_roundabout,,,,POINT (-6.299274 53.321782)
670979,53.3234731,-6.3007704,3,mini_roundabout,,,,POINT (-6.3007704 53.3234731)
670982,53.331259,-6.2752144,3,,,,,POINT (-6.2752144 53.331259)
670988,53.3221753,-6.3014323,3,mini_roundabout,,,,POINT (-6.3014323 53.3221753)
670990,53.3217591,-6.3027685,3,,,,,POINT (-6.3027685 53.3217591)
670991,53.3217027,-6.3050728,3,,,,,POINT (-6.3050728 53.3217027)
670992,53.3206389,-6.3040809,3,,,,,POINT (-6.3040809 53.3206389)
670993,53.3211444,-6.3046421,3,,,,,POINT (-6.3046421 53.3211444)
670994,53.3198078,-6.3096209,4,mini_roundabout,,,,POINT (-6.3096209 53.3198078)
670995,53.3191161,-6.3150514,3,,,,,POINT (-6.3150514 53.3191161)
670998,53.3178285,-6.287114,4,,,,,POINT (-6.287114 53.3178285)
671003,53.3162889,-6.3169354,4,traffic_signals,,,,POINT (-6.3169354 53.3162889)
671005,53.3240177,-6.3280351,4,traffic_signals,,,,POINT (-6.3280351 53.3240177)
671007,53.321312,-6.3308432,3,traffic_signals,,,,POINT (-6.3308432 53.321312)
671008,53.3179881,-6.3326503,3,,,,,POINT (-6.3326503 53.3179881)
671015,53.3124531,-6.3014373,3,,,,,POINT (-6.3014373 53.3124531)
671023,53.3095497,-6.284684,3,traffic_signals,,,,POINT (-6.284684 53.3095497)
671024,53.3098572,-6.28351,4,traffic_signals,,yes,,POINT (-6.28351 53.3098572)
671027,53.3105587,-6.2808218,3,,,,,POINT (-6.2808218 53.3105587)
671028,53.3119159,-6.2745882,4,traffic_signals,,,,POINT (-6.2745882 53.3119159)
671030,53.309087,-6.2736733,3,,,,,POINT (-6.2736733 53.309087)
671033,53.3078606,-6.2734265,3,,,,,POINT (-6.2734265 53.3078606)
671034,53.3075311,-6.2771407,3,,,,,POINT (-6.2771407 53.3075311)
671036,53.3073143,-6.281666,3,,,,,POINT (-6.281666 53.3073143)
672383,53.3452765,-6.2758661,4,,,,,POINT (-6.2758661 53.3452765)
901698,53.3478566,-6.3462427,4,traffic_signals,,,,POINT (-6.3462427 53.3478566)
